id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,5.46,2.02,1,46,46,Car,2,55.02,30.40,30.94,30.68,-1.00,-1.00,-1.00,0
2,3.94,1.82,1,72,72,Car,1,89.17,30.90,31.73,31.44,74.11,2.38,6.39,0
3,4.04,1.62,1,91,91,Car,2,120.68,33.05,34.07,33.60,105.17,3.17,7.63,0
4,16.27,2.50,1,105,105,Truck,1,94.40,22.57,22.80,22.73,-1.00,-1.00,-1.00,0
5,4.95,2.02,1,107,107,Car,1,121.25,28.38,28.77,28.64,-1.00,-1.00,-1.00,0
6,3.94,1.72,1,129,129,Car,2,169.60,32.29,34.03,33.17,45.58,1.41,-1.00,0
7,4.85,2.02,1,131,131,Car,1,120.28,22.45,23.44,23.16,18.18,0.79,29.81,0
8,4.45,1.92,1,132,132,Car,1,173.14,32.55,33.32,33.08,75.03,2.26,47.88,0
9,4.55,1.82,1,133,133,Car,2,147.80,27.62,28.39,28.03,88.15,3.19,-1.00,0
10,5.86,2.22,1,142,142,Car,2,186.83,32.39,33.97,33.16,-1.00,-1.00,-1.00,0
11,4.04,1.82,1,172,172,Car,2,220.83,31.39,33.58,32.32,47.29,1.50,-1.00,0
12,4.35,1.92,1,188,188,Car,1,231.58,30.25,31.91,30.99,52.59,1.72,23.63,0
13,4.65,1.92,1,189,189,Car,2,257.65,33.25,35.09,34.29,60.95,1.74,62.83,0
14,4.14,1.82,1,204,204,Car,2,279.02,33.00,35.65,34.39,17.92,0.50,46.49,0
15,4.35,1.82,1,211,211,Car,1,294.88,34.88,35.30,35.13,66.08,1.89,50.77,0
16,3.74,1.82,1,221,221,Car,1,280.52,30.84,32.80,31.90,37.47,1.20,31.14,0
17,4.85,1.92,1,236,236,Car,2,320.07,32.57,36.00,34.07,85.33,2.47,53.61,0
18,4.14,1.92,1,241,241,Car,1,332.68,34.22,35.36,34.68,33.72,0.98,-1.00,0
19,5.15,2.02,1,250,250,Car,2,343.56,32.73,36.48,34.51,30.60,0.86,33.41,0
20,4.35,1.82,1,278,278,Car,2,372.57,31.68,35.04,33.64,26.24,0.83,-1.00,0
21,3.94,1.82,1,283,283,Car,2,358.76,30.12,33.43,31.82,34.71,1.15,-1.00,0
22,5.56,2.43,1,293,293,Car,1,383.90,32.55,33.16,32.89,45.08,1.38,-1.00,0
23,4.95,2.02,1,319,319,Car,2,403.60,30.89,33.44,31.74,25.00,0.81,-1.00,0
24,16.88,2.50,1,371,371,Truck,1,359.30,23.66,24.91,24.29,60.69,2.43,-1.00,0
25,17.58,2.50,1,374,374,Truck,1,351.77,22.92,24.14,23.59,112.04,4.64,269.74,0
26,7.88,2.02,1,383,383,Car,1,374.80,24.27,24.74,24.54,14.95,0.60,14.12,0
27,16.57,2.50,1,412,412,Truck,2,384.19,22.72,24.35,23.38,221.21,9.72,-1.00,0
28,4.65,1.82,2,9,8,Car,2,5.38,19.37,19.37,19.37,-1.00,-1.00,-1.00,0
29,4.45,1.82,2,10,9,Car,1,6.19,19.39,19.50,19.44,-1.00,-1.00,-1.00,0
